name,island,classification,vicinity,types,user_ratings_total,rating,place_id,url,lat,lon
Lokoawa Bay,Kauai,Bay,"Lokoawa Bay, Hawaii, USA","['natural_feature', 'establishment']",0.0,0.0,ChIJtd_XHJcFB3wRpHPsl4Yx6xM,https://www.google.com/maps/place/?q=place_id:ChIJtd_XHJcFB3wRpHPsl4Yx6xM,21.8861771,-159.5412195
Kilauea Bay,Kauai,Bay,Kalihiwai,"['natural_feature', 'establishment']",1.0,5.0,ChIJX7BDFlPvBnwRB4vd8E08uwo,https://www.google.com/maps/place/?q=place_id:ChIJX7BDFlPvBnwRB4vd8E08uwo,22.2219444,-159.3847222
Hanalei Bay,Kauai,Bay,"Hanalei Bay, Hawaii, USA","['natural_feature', 'establishment']",234.0,4.8,ChIJYwXuuZT6BnwRv1N10g-vo9Y,https://www.google.com/maps/place/?q=place_id:ChIJYwXuuZT6BnwRv1N10g-vo9Y,22.2090776,-159.5067583
Papaa Bay,Kauai,Bay,"Papaa Bay, Hawaii 96754, USA","['natural_feature', 'establishment']",2.0,5.0,ChIJPyRliL7nBnwRbHtxWM5ErHM,https://www.google.com/maps/place/?q=place_id:ChIJPyRliL7nBnwRbHtxWM5ErHM,22.1774999,-159.3147222
Hanapepe Bay,Kauai,Bay,"Hanapepe Bay, Hawaii 96705, USA","['natural_feature', 'establishment']",2.0,5.0,ChIJ6Xpc2hQGB3wRBzXSsRGMreE,https://www.google.com/maps/place/?q=place_id:ChIJ6Xpc2hQGB3wRBzXSsRGMreE,21.8997232,-159.5939002
Kalihiwai Bay,Kauai,Bay,Kalihiwai,"['natural_feature', 'establishment']",6.0,4.5,ChIJCfNvEIDlBnwRhhv2oBcthUg,https://www.google.com/maps/place/?q=place_id:ChIJCfNvEIDlBnwRhhv2oBcthUg,22.219436,-159.4285474
Hanakaape Bay,Kauai,Bay,"Hanakaape Bay, Hawaii 96756, USA","['natural_feature', 'establishment']",1.0,5.0,ChIJAUuKibYaB3wR4S8yupVWtdk,https://www.google.com/maps/place/?q=place_id:ChIJAUuKibYaB3wR4S8yupVWtdk,21.878384,-159.4684962
Keoniloa Bay,Kauai,Bay,"Keoniloa Bay, Hawaii 96756, USA","['natural_feature', 'establishment']",2.0,5.0,ChIJzwvj244aB3wRJitlsSq703A,https://www.google.com/maps/place/?q=place_id:ChIJzwvj244aB3wRJitlsSq703A,21.8721041,-159.4378012
Anahola Bay,Kauai,Bay,"Anahola Bay, Hawaii, USA","['natural_feature', 'establishment']",4.0,4.8,ChIJNV8Y6XDnBnwRrhQ4szthiyU,https://www.google.com/maps/place/?q=place_id:ChIJNV8Y6XDnBnwRrhQ4szthiyU,22.1508056,-159.3011632
Wainiha Bay,Kauai,Bay,"Wainiha Bay, Hawaii 96746, USA","['natural_feature', 'establishment']",1.0,5.0,ChIJR-y5IGb6BnwRT7mfe74JMWs,https://www.google.com/maps/place/?q=place_id:ChIJR-y5IGb6BnwRT7mfe74JMWs,22.2153961,-159.5387857
Kawailoa Bay,Kauai,Bay,"Kawailoa Bay, Hawaii 96756, USA","['natural_feature', 'establishment']",0.0,0.0,ChIJn-o_ukkaB3wRITUlPuCd_v8,https://www.google.com/maps/place/?q=place_id:ChIJn-o_ukkaB3wRITUlPuCd_v8,21.8914662,-159.40918
Hoanuanu Bay,Kauai,Bay,Pakala Village,"['natural_feature', 'establishment']",0.0,0.0,ChIJlR0vJnAHB3wR8yMN3XnQoEY,https://www.google.com/maps/place/?q=place_id:ChIJlR0vJnAHB3wR8yMN3XnQoEY,21.9422222,-159.655
Maniniholo Bay,Kauai,Bay,"Maniniholo Bay, Hawaii 96746, USA","['natural_feature', 'establishment']",0.0,0.0,ChIJd6ylkBz6BnwRYhXX1vwIxtY,https://www.google.com/maps/place/?q=place_id:ChIJd6ylkBz6BnwRYhXX1vwIxtY,22.2252778,-159.5686111
Waiokapua Bay,Kauai,Bay,"Waiokapua Bay, Hawaii 96752, USA","['natural_feature', 'establishment']",2.0,4.0,ChIJF8PmhxGsB3wR6wdbjMKio_I,https://www.google.com/maps/place/?q=place_id:ChIJF8PmhxGsB3wR6wdbjMKio_I,22.0094444,-159.7786111
Haula Bay,Kauai,Bay,"Haula Bay, Hawaii 96756, USA","['natural_feature', 'establishment']",1.0,5.0,ChIJNcTpNssbB3wR8VdfcBp2lEQ,https://www.google.com/maps/place/?q=place_id:ChIJNcTpNssbB3wR8VdfcBp2lEQ,21.898717,-159.4021033
